,source,target
0,45554001,45396268
1,1059121843,45396268
2,776703400734027776,45396268
3,4042048270,45396268
4,266635383,45396268
5,266635383,96160040
6,148331810,20433341
7,148331810,269936066
8,148331810,294226393
9,148331810,45396268
10,148331810,57603150
11,844258080418418688,331734057
12,844258080418418688,45396268
13,844258080418418688,96160040
14,863853900432121856,45396268
15,863853900432121856,96160040
16,186344801,45396268
17,312720321,45396268
18,832557420291489792,45396268
19,784803565,45396268
20,714012952765009920,45396268
21,2918754395,45396268
22,900971439582347266,45396268
23,900971439582347266,737544816871899136
24,371118108,45396268
25,371118108,737544816871899136
26,773925302963765248,45396268
27,864094608887865345,45396268
28,2154416649,45396268
29,14103696,45396268
30,3039550793,45396268
31,518984829,45396268
32,82951273,2387728961
33,82951273,45396268
34,82951273,68823465
35,82951273,84160791
36,3713341403,1239260290413445124
37,3713341403,45396268
38,310512154,45396268
39,2921248228,331734057
40,2921248228,45396268
41,1256575698073989123,1239260290413445124
42,1256575698073989123,1536331447
43,1256575698073989123,45396268
44,1256575698073989123,737544816871899136
45,1256575698073989123,802874842055843841
46,1256575698073989123,873950011909963778
47,80862320,369513926
48,80862320,45396268
49,80862320,96160040
50,3081540622,45396268
51,1343873281489776640,1440956484309897218
52,1343873281489776640,45396268
53,1343873281489776640,7936982
54,1343873281489776640,873950011909963778
55,1604274451,45396268
56,898030984318394368,45396268
57,4822413681,45396268
58,317099437,45396268
59,317099437,627372516
60,859477226,294226393
61,859477226,45396268
62,298426844,45396268
63,872404093075152896,1351678532246712320
64,872404093075152896,45396268
65,872404093075152896,873950011909963778
66,161516896,45396268
67,995646239650861056,45396268
68,914570248732409861,45396268
69,914570248732409861,96160040
70,201493883,45396268
71,201493883,68823465
72,500846944,1239260290413445124
73,500846944,45396268
74,500846944,737544816871899136
75,500846944,873950011909963778
76,500846944,96160040
77,911386529859346434,45396268
78,428577474,45396268
79,30489339,45396268
80,2760161123,45396268
81,851648946,45396268
82,5991112,1239260290413445124
83,5991112,45396268
84,525837272,45396268
85,1513651584,45396268
86,86372268,1140319788306259969
87,86372268,45396268
88,86372268,96160040
89,1149702015188164608,45396268
90,1061543047,45396268
91,1061543047,873950011909963778
92,4227189267,45396268
93,1123889438390718467,1178926841178054657
94,1123889438390718467,45396268
95,1123889438390718467,737544816871899136
96,1123889438390718467,96160040
97,253570570,45396268
98,253570570,96160040
99,253570570,982647224655020032
100,134973673,45396268
101,331525214,45396268
102,1159350470772776960,45396268
103,251430261,45396268
104,790933662921547776,272686270
105,790933662921547776,45396268
106,263131563,144547999
107,263131563,222403020
108,263131563,269936066
109,263131563,294226393
110,263131563,331734057
111,263131563,45396268
112,707687861382991872,45396268
113,2865795981,45396268
114,18319499,45396268
115,18319499,57603150
116,1193971099471687680,45396268
117,737544816871899136,1027495013243146241
118,737544816871899136,1060154406652514304
119,737544816871899136,1062412965478055936
120,737544816871899136,1070810575
121,737544816871899136,108553713
122,737544816871899136,1155309146
123,737544816871899136,125074522
124,737544816871899136,1371661483
125,737544816871899136,140469438
126,737544816871899136,14372663
127,737544816871899136,1457181174
128,737544816871899136,1482664754
129,737544816871899136,1545313657
130,737544816871899136,155896285
131,737544816871899136,1687720567
132,737544816871899136,169399135
133,737544816871899136,1696900998
134,737544816871899136,170875177
135,737544816871899136,17555270
136,737544816871899136,1872021775
137,737544816871899136,19491279
138,737544816871899136,194927876
139,737544816871899136,20100663
140,737544816871899136,224750181
141,737544816871899136,2301720944
142,737544816871899136,2336563291
143,737544816871899136,237489636
144,737544816871899136,240722531
145,737544816871899136,2665307420
146,737544816871899136,271870111
147,737544816871899136,2719518104
148,737544816871899136,2771514649
149,737544816871899136,2807308559
150,737544816871899136,283949346
151,737544816871899136,289398589
152,737544816871899136,2894363721
153,737544816871899136,2900347241
154,737544816871899136,29440324
155,737544816871899136,305257915
156,737544816871899136,307842391
157,737544816871899136,3367355182
158,737544816871899136,3389320420
159,737544816871899136,355163661
160,737544816871899136,356661264
161,737544816871899136,358673105
162,737544816871899136,358758963
163,737544816871899136,371118108
164,737544816871899136,37942286
165,737544816871899136,3881792836
166,737544816871899136,400037016
167,737544816871899136,4131518267
168,737544816871899136,41872843
169,737544816871899136,45396268
170,737544816871899136,46105717
171,737544816871899136,538192859
172,737544816871899136,550866308
173,737544816871899136,575517512
174,737544816871899136,611661891
175,737544816871899136,618901930
176,737544816871899136,69558621
177,737544816871899136,715843830877184001
178,737544816871899136,753594442628665344
179,737544816871899136,819215064922288133
180,737544816871899136,835271028
181,737544816871899136,872404093075152896
182,737544816871899136,926702778
183,737544816871899136,950832134251597824
184,737544816871899136,982420033
185,2704392027,45396268
186,130091892,45396268
187,130091892,627372516
188,970120040,1375125010097041420
189,970120040,1453993666348036102
190,970120040,1536331447
191,970120040,45396268
192,970120040,579978334
193,3374698984,45396268
194,3374698984,873950011909963778
195,1116583784,45396268
196,1116583784,96160040
197,2821286135,45396268
198,2821286135,84160791
199,974494170,45396268
200,263190469,45396268
201,3239128420,45396268
202,3239128420,57603150
203,4658869097,45396268
204,4658869097,96160040
205,983384440683589633,2529706135
206,983384440683589633,45396268
207,18435696,45396268
208,81239881,45396268
209,1164429235936735232,45396268
210,2882031607,45396268
211,951996914,45396268
212,2268654205,45396268
213,2268654205,737544816871899136
214,2268654205,873950011909963778
215,268600843,45396268
216,819068636014985217,45396268
217,2403070238,45396268
218,1420026692035399685,1000104452316172288
219,1420026692035399685,1022063399025496065
220,1420026692035399685,1053325199557431296
221,1420026692035399685,106012183
222,1420026692035399685,108553713
223,1420026692035399685,1087288153701011457
224,1420026692035399685,1099579632553218048
225,1420026692035399685,1136649931035480064
226,1420026692035399685,1148966147242545152
227,1420026692035399685,1214551943529607169
228,1420026692035399685,1216177118
229,1420026692035399685,142633802
230,1420026692035399685,14372663
231,1420026692035399685,153826056
232,1420026692035399685,155896285
233,1420026692035399685,169399135
234,1420026692035399685,175080582
235,1420026692035399685,1872021775
236,1420026692035399685,19052532
237,1420026692035399685,190566425
238,1420026692035399685,20100663
239,1420026692035399685,205640203
240,1420026692035399685,209563247
241,1420026692035399685,223800848
242,1420026692035399685,2301720944
243,1420026692035399685,25165951
244,1420026692035399685,259376812
245,1420026692035399685,260897786
246,1420026692035399685,263708183
247,1420026692035399685,2665307420
248,1420026692035399685,271870111
249,1420026692035399685,2719518104
250,1420026692035399685,2771514649
251,1420026692035399685,282549568
252,1420026692035399685,2894363721
253,1420026692035399685,29163531
254,1420026692035399685,300196448
255,1420026692035399685,358673105
256,1420026692035399685,358758963
257,1420026692035399685,37942286
258,1420026692035399685,388195142
259,1420026692035399685,400037016
260,1420026692035399685,41872843
261,1420026692035399685,42804564
262,1420026692035399685,45396268
263,1420026692035399685,550866308
264,1420026692035399685,575517512
265,1420026692035399685,63146369
266,1420026692035399685,707054706
267,1420026692035399685,709331756734947328
268,1420026692035399685,733426942133690369
269,1420026692035399685,835716212
270,1420026692035399685,869477380942958592
271,1420026692035399685,872404093075152896
272,1420026692035399685,873950011909963778
273,1420026692035399685,8930652
274,1420026692035399685,926702778
275,1420026692035399685,96160040
276,1420026692035399685,982420033
277,1420026692035399685,993829569676414977
278,923952962489241600,45396268
279,910504031885385729,45396268
280,109595685,45396268
281,110935074,45396268
282,1675681806,45396268
283,918461107303481345,45396268
284,223487046,1239260290413445124
285,223487046,45396268
286,223487046,579978334
287,223487046,873950011909963778
288,301716866,45396268
289,882341913822625792,45396268
290,1170186985,45396268
291,725681305149673473,1191399780766932993
292,725681305149673473,269936066
293,725681305149673473,294226393
294,725681305149673473,42908890
295,725681305149673473,45396268
296,356487341,45396268
297,143915798,45396268
298,1278913668,1052472740341538816
299,1278913668,294226393
300,1278913668,45396268
301,1278913668,57603150
302,1278913668,96160040
303,1448405256,269936066
304,1448405256,45396268
305,309542698,45396268
306,903525841,45396268
307,776026108164710400,45396268
308,375031554,294226393
309,375031554,42908890
310,375031554,45396268
311,448318597,45396268
312,3393413608,45396268
313,239901739,1358974999
314,239901739,45396268
315,1159607952,45396268
316,933765574982885376,45396268
317,35734173,1178926841178054657
318,35734173,1351678532246712320
319,35734173,45396268
320,35734173,96160040
321,920443985876979712,45396268
322,366319404,45396268
323,366319404,96160040
324,1978768458,294226393
325,1978768458,339016909
326,1978768458,45396268
327,480673119,45396268
328,1219264898670219265,45396268
329,282549568,45396268
330,516989435,45396268
331,700663922576089088,45396268
332,999564544564518912,331734057
333,999564544564518912,45396268
334,272253631,45396268
335,1378987188847845378,1239260290413445124
336,1378987188847845378,1440956484309897218
337,1378987188847845378,1469621132072472578
338,1378987188847845378,45396268
339,1378987188847845378,873950011909963778
340,1378987188847845378,96160040
341,1143488576354693120,45396268
342,247440752,20433341
343,247440752,222403020
344,247440752,45396268
345,247440752,96160040
346,464682504,45396268
347,464682504,96160040
348,235339305,45396268
349,1252577849640464385,45396268
350,1087298200996900864,45396268
351,327652586,45396268
352,331013663,45396268
353,12831702,45396268
354,64536509,45396268
355,83427283,45396268
356,2410058259,45396268
357,140042838,45396268
358,448831139,45396268
359,539358461,45396268
360,3147330646,45396268
361,1205781384,45396268
362,966319582980997121,45396268
363,189231627,447568231
364,189231627,45396268
365,2330224303,45396268
366,399498372,45396268
367,907801531398926337,45396268
368,3822558615,45396268
369,3822558615,96160040
370,199003395,1375125010097041420
371,199003395,45396268
372,1453993666348036102,45396268
373,2424299112,45396268
374,2424299112,873950011909963778
375,158648686,45396268
376,158648686,57603150
377,185681933,45396268
378,3634535837,45396268
379,1377344712,45396268
380,786806561490411520,45396268
381,1872021775,1453993666348036102
382,1872021775,45396268
383,1872021775,737544816871899136
384,1872021775,873950011909963778
385,1872021775,96160040
386,1123693843478712322,1239260290413445124
387,1123693843478712322,331734057
388,1123693843478712322,45396268
389,1123693843478712322,579978334
390,1123693843478712322,68823465
391,1123693843478712322,737544816871899136
392,1123693843478712322,96160040
393,953287154368524288,45396268
394,239849787,1239260290413445124
395,239849787,45396268
396,239849787,96160040
397,2912951073,45396268
398,231996826,45396268
399,57649084,45396268
400,1095885332,45396268
401,833377568975904768,45396268
402,2817903088,45396268
