,Id
0,78452204249854361645396268
1,245521576445396268
2,151500450646719284445396268
3,8416079145396268
4,137908718506915430745396268
5,151010225216971162545396268
6,55663859745396268
7,273745660145396268
8,116917500839403929645396268
9,151277949953606041845396268
10,458186348945396268
11,145399366634803610245396268
12,26993606645396268
13,85459409045396268
14,151399819768913101645396268
15,88411039285898854545396268
16,32226505645396268
17,122584202860241715245396268
18,118861135099977318945396268
19,74390275510700441645396268
20,190982814645396268
21,118651317997264486445396268
22,31721518445396268
23,76129354415381299245396268
24,99081279693696614445396268
25,35812790645396268
26,16743881845396268
27,31003284645396268
28,22962459145396268
29,60263346945396268
30,139801278136700519145396268
31,1523313045396268
32,113166630265178112145396268
33,28390393345396268
34,27268627045396268
35,51885952545396268
36,23305933345396268
37,48742398945396268
38,85046039278671872145396268
39,241074332345396268
40,57683891745396268
41,282719098045396268
42,144342560378976256545396268
43,19292227745396268
44,4290889045396268
45,24682729545396268
46,44756823145396268
47,151147870935788748945396268
48,147743206864893133045396268
49,151109057055852544345396268
50,287580834645396268
51,105247274034153881645396268
52,132402448445396268
53,88451819059172557045396268
54,9616004045396268
55,115398025181237658245396268
56,288486589245396268
57,137051376478579507445396268
58,87395001190996377845396268
59,146415651113207808145396268
60,150183548363414324245396268
61,31446014045396268
62,14454799945396268
63,98264722465502003245396268
64,28844504645396268
65,111814566930119884845396268
66,153633144745396268
67,17913586745396268
68,44581070145396268
69,18594131645396268
70,345104527945396268
71,793698245396268
72,137512501009704142045396268
73,95052831142322176045396268
74,33901690945396268
75,102481478045396268
76,143638795677272473845396268
77,55524831945396268
78,99318677888557875245396268
79,62756611645396268
80,80287484205584384145396268
81,139890048141873971245396268
82,11768636545396268
83,35516366145396268
84,20127694545396268
85,145302480565408973845396268
86,280730855945396268
87,35614033445396268
88,4715319545396268
89,51351866045396268
90,2043334145396268
91,287868159845396268
92,143301729611350426045396268
93,23172190745396268
94,42017278145396268
95,140506476265282355245396268
96,130588822432636518445396268
97,24361750845396268
98,116973018172196864245396268
99,73754481687189913645396268
100,78179005971235225645396268
101,383620588045396268
102,130062269102041088645396268
103,137234636529724211245396268
104,142002669203539968545396268
105,26041583045396268
106,79787826692519936045396268
107,62737251645396268
108,138297702535961395445396268
109,144095648430989721845396268
110,42210884145396268
111,63439745045396268
112,19109930345396268
113,255313951345396268
114,148711394861277184745396268
115,117892684117805465745396268
116,27417754445396268
117,4628572345396268
118,51972318345396268
119,57997833445396268
120,109588533245396268
121,3317398145396268
122,138221475010123776245396268
123,193459458845396268
124,140636579140300800345396268
125,71351671445396268
126,102206339902549606545396268
127,35669539445396268
128,13995757745396268
129,6882346545396268
130,134208425134117273745396268
131,36951392645396268
132,9575514345396268
133,146160788256314982445396268
134,122042953639281459245396268
135,31781689645396268
136,143901531108119757345396268
137,15802967145396268
138,10678387445396268
139,1423414045396268
140,8019987645396268
141,238772896145396268
142,32952540045396268
143,280591152445396268
144,39036757845396268
145,78264525045396268
146,142582452845396268
147,148119484582581043645396268
148,123926029041344512445396268
149,144615910654129766745396268
150,99955880818271027245396268
151,143341019527588659645396268
152,312851993245396268
153,144689202455736320145396268
154,143671369245396268
155,124748646004498432045396268
156,1253989245396268
157,145106353516591923445396268
158,147366667033818727245396268
159,421275422845396268
160,96422959455029248245396268
161,32943986945396268
162,33811974945396268
163,81811292638924390445396268
164,106934621336603443545396268
165,147028474768337305745396268
166,146962113207247257845396268
167,258551938245396268
168,22240302045396268
169,13486550445396268
170,135945272092780544045396268
171,29707114245396268
172,137835235057068442145396268
173,19755289645396268
174,22532586845396268
175,331350063845396268
176,117151895045396268
177,104716599332225024045396268
178,1548426745396268
179,39741625845396268
180,135897499945396268
181,42499317345396268
182,98354461445396268
183,24407095945396268
184,146322045655563878545396268
185,119139978076693299345396268
186,140488078812296397845396268
187,5760315045396268
188,145889426721313996945396268
189,14736972345396268
190,101949247667827097645396268
191,93082167265929216245396268
192,135167853224671232045396268
193,252970613545396268
194,167276929245396268
195,45048058945396268
196,131162888805381324845396268
197,114031978830625996945396268
198,33098353345396268
199,113574735969724416045396268
200,54948135145396268
201,112147485327667200045396268
202,23478749745396268
203,29422639345396268
204,91532948642974924845396268
205,102208068350059724845396268
206,87188035845396268
207,141068070048806093045396268
208,132693320498146918445396268
209,134615144531014041745396268
210,128038227322598604945396268
211,54844399545396268
212,141347524107083776445396268
213,33173405745396268
214,87610661667599564845396268
215,142457213575909785845396268
216,10365891745396268
217,1103469245396268
218,144799611034636697645396268
219,21748434945396268
220,258436583245396268
221,113826522154032332845396268
222,43487359945396268
223,7534039845396268
224,275238298745396268
225,292612307245396268
